Date,Open,High,Low,Close,Adj Close,Volume
05/15/2017,204.0,206.0,204.0,206.0,167.95883178710938,"25,666,000"
05/16/2017,205.0,205.0,203.5,204.5,166.73582458496094,"33,224,000"
05/17/2017,203.0,204.0,203.0,204.0,166.3281707763672,"21,567,000"
05/18/2017,202.5,204.0,201.5,203.5,165.92054748535156,"22,461,000"
05/19/2017,203.5,204.5,202.5,203.0,165.51283264160156,"16,492,000"
05/22/2017,203.5,205.0,203.0,205.0,167.14349365234375,"13,726,000"
05/23/2017,205.0,207.0,204.5,205.0,167.14349365234375,"19,991,000"
05/24/2017,205.0,206.0,205.0,205.5,167.5511474609375,"13,380,000"
05/25/2017,206.0,207.0,205.5,207.0,168.77418518066406,"22,328,000"
05/26/2017,205.0,207.0,205.0,207.0,168.77418518066406,"32,514,000"
05/31/2017,206.5,207.0,203.0,203.0,165.51283264160156,"67,475,000"
06/01/2017,205.0,207.0,204.5,207.0,168.77418518066406,"27,589,000"
06/02/2017,208.5,209.0,207.5,209.0,170.40484619140625,"22,573,000"
06/05/2017,209.5,212.0,209.0,212.0,172.850830078125,"21,457,000"
06/06/2017,210.5,211.5,210.5,210.5,171.6278076171875,"14,912,000"
06/07/2017,212.0,212.5,210.0,211.5,172.44314575195312,"29,514,000"
06/08/2017,212.0,213.0,211.5,213.0,173.66616821289062,"18,437,000"
06/09/2017,214.5,215.0,212.0,212.0,172.850830078125,"31,774,000"
06/12/2017,207.0,210.0,207.0,207.5,169.18182373046875,"58,256,000"
06/13/2017,207.0,208.5,206.5,208.0,169.58949279785156,"43,566,000"
06/14/2017,208.5,209.5,206.0,207.0,168.77418518066406,"36,293,000"
06/15/2017,207.5,208.0,207.0,208.0,169.58949279785156,"17,748,000"
06/16/2017,207.5,212.0,207.0,211.5,172.44314575195312,"32,816,000"
06/19/2017,211.0,213.0,210.5,213.0,173.66616821289062,"15,632,000"
06/20/2017,215.0,218.0,214.5,216.5,176.51983642578125,"28,630,000"
06/21/2017,216.0,217.0,214.5,215.5,175.70449829101562,"44,789,000"
06/22/2017,217.0,218.0,216.5,218.0,177.7428741455078,"24,139,000"
06/23/2017,218.0,218.5,217.0,217.0,176.92750549316406,"39,621,000"
06/26/2017,212.0,215.0,212.0,215.0,181.14010620117188,"58,686,000"
06/27/2017,214.0,214.0,211.0,211.5,178.1912384033203,"43,269,000"
